date,portfolio_value,cash,n_positions,portfolio_return,sp500_value,sp500_return
2023-07-12,108648.62631225583,108648.62631225583,0,8.648626312255825,148.44483947753906,-6.082435233100602
2023-07-13,108648.62631225583,108648.62631225583,0,8.648626312255825,149.1303253173828,-5.648744435987652
2023-07-14,108648.62631225583,108648.62631225583,0,8.648626312255825,150.12571716308594,-5.018983384904352
2023-07-17,108648.62631225583,108648.62631225583,0,8.648626312255825,149.37451171875,-5.4942534328223385
2023-07-18,108648.62631225583,108648.62631225583,0,8.648626312255825,149.3651123046875,-5.500200221421336
2023-07-19,108648.62631225583,108648.62631225583,0,8.648626312255825,149.06463623046875,-5.690304379037492
2023-07-20,108648.62631225583,108648.62631225583,0,8.648626312255825,158.1170196533203,0.036926081803878574
2023-07-21,108648.62631225583,108648.62631225583,0,8.648626312255825,159.8167266845703,1.1122908149533206
2023-07-24,108648.62631225583,108648.62631225583,0,8.648626312255825,160.6524658203125,1.6410433447519468
2023-07-25,108648.62631225583,108648.62631225583,0,8.648626312255825,161.88265991210938,2.419358264279148
2023-07-26,108648.62631225583,108648.62631225583,0,8.648626312255825,162.19252014160156,2.6153995566167154
2023-07-27,108648.62631225583,108648.62631225583,0,8.648626312255825,163.10337829589844,3.191678125819375
2023-07-28,108648.62631225583,108648.62631225583,0,8.648626312255825,163.84523010253906,3.6610303467711436
2023-07-31,108648.62631225583,108648.62631225583,0,8.648626312255825,157.31886291503906,-0.4680489474763405
2023-08-01,108648.62631225583,108648.62631225583,0,8.648626312255825,158.59596252441406,0.3399419917803126
2023-08-02,108648.62631225583,108648.62631225583,0,8.648626312255825,159.5537872314453,0.9459351962227913
2023-08-03,108648.62631225583,108648.62631225583,0,8.648626312255825,160.23931884765625,1.3796549549685233
2023-08-04,108648.62631225583,108648.62631225583,0,8.648626312255825,158.73680114746094,0.4290472819893809
2023-08-07,108648.62631225583,108648.62631225583,0,8.648626312255825,162.54934692382812,2.8411554841941022
2023-08-08,108648.62631225583,108648.62631225583,0,8.648626312255825,162.6244659423828,2.8886815235981356
2023-08-09,108648.62631225583,108648.62631225583,0,8.648626312255825,162.5211944580078,2.823344080029866
