ticker,signal,confidence,prediction_value
CSX,VENDER,0.9033720206061573,0.04831398969692138
TMO,VENDER,0.8839968485662647,0.05800157571686765
HPE,VENDER,0.8751237191316454,0.06243814043417728
CBOE,VENDER,0.8568784087503946,0.07156079562480272
IBM,VENDER,0.8524681678758615,0.07376591606206923
GM,VENDER,0.8496033807485164,0.07519830962574181
K,VENDER,0.8419313314231185,0.07903433428844073
HAL,VENDER,0.8364841993308547,0.08175790033457264
IR,VENDER,0.835108493107393,0.0824457534463035
USB,VENDER,0.8223539881845311,0.08882300590773445
CFG,VENDER,0.8218340107416398,0.08908299462918012
CTSH,VENDER,0.8179771320834673,0.09101143395826633
WTW,VENDER,0.8136679916067573,0.09316600419662133
APH,VENDER,0.811253906093687,0.09437304695315651
CHTR,VENDER,0.797050029430315,0.1014749852848425
FAST,VENDER,0.793758013820872,0.10312099308956402
TJX,VENDER,0.792779016651401,0.10361049167429948
NUE,VENDER,0.7874868060675871,0.10625659696620643
STE,VENDER,0.7871574683276261,0.10642126583618697
MTD,VENDER,0.7834777191153164,0.10826114044234181
AFL,VENDER,0.7721326146293969,0.11393369268530157
TYL,VENDER,0.7686086233718012,0.11569568831409938
MA,VENDER,0.767426311666957,0.11628684416652152
FITB,VENDER,0.7643399351892398,0.11783003240538009
DD,VENDER,0.7637086472710668,0.11814567636446663
APD,VENDER,0.7441840235733572,0.12790798821332142
LVS,VENDER,0.7411555625131083,0.12942221874344584
SBUX,VENDER,0.7388080085462989,0.13059599572685057
PAYX,COMPRAR,0.730384642190705,0.8651923210953525
HD,VENDER,0.729299013949145,0.1353504930254275
DLR,COMPRAR,0.7269362283709766,0.8634681141854883
MAR,VENDER,0.719807591418689,0.1400962042906555
MGM,VENDER,0.7121028442461315,0.1439485778769343
PHM,VENDER,0.7110485461109677,0.14447572694451616
OXY,VENDER,0.7104809301209785,0.14475953493951077
ORLY,VENDER,0.7090335955946014,0.14548320220269928
AXP,VENDER,0.7043006229754354,0.1478496885122823
CTRA,VENDER,0.7012280950304565,0.14938595248477177
ZBH,VENDER,0.7008232039228313,0.1495883980385844
GNRC,VENDER,0.6996957331759256,0.1501521334120372
VRSK,COMPRAR,0.6991781472761183,0.8495890736380591
AOS,VENDER,0.6982140442945622,0.15089297785271888
ITW,VENDER,0.6971772448747302,0.15141137756263492
ATO,VENDER,0.6868757620313497,0.15656211898432515
ROK,VENDER,0.6856915946674829,0.15715420266625857
L,VENDER,0.6798998969257548,0.1600500515371226
KMI,COMPRAR,0.6776845582876554,0.8388422791438277
TDY,VENDER,0.6773384533252278,0.16133077333738607
TXT,VENDER,0.6768323883713131,0.16158380581434345
APA,VENDER,0.6761610203672013,0.16191948981639936
MCD,VENDER,0.6757426834781619,0.16212865826091907
SYY,VENDER,0.6753336876385428,0.16233315618072858
LEN,VENDER,0.6709444942399853,0.16452775288000737
SLB,VENDER,0.6683853098750963,0.1658073450624519
TFC,VENDER,0.6670334643855033,0.16648326780724837
RTX,VENDER,0.6551095535395501,0.17244522323022493
FOXA,VENDER,0.6530421640159962,0.17347891799200185
DDOG,VENDER,0.6510700748286501,0.17446496258567495
KO,VENDER,0.6502347775161217,0.17488261124193913
AJG,COMPRAR,0.649771365646064,0.824885682823032
PEP,VENDER,0.6473840465711773,0.17630797671441137
RF,VENDER,0.6460853451506443,0.17695732742467785
CRM,VENDER,0.6460743812723595,0.17696280936382028
SPGI,VENDER,0.6368375359285688,0.18158123203571558
XYL,VENDER,0.6354113151135892,0.18229434244320541
TGT,VENDER,0.6297445829623671,0.1851277085188164
DRI,VENDER,0.6273028579009774,0.1863485710495113
RSG,COMPRAR,0.6269262947064118,0.8134631473532059
OMC,VENDER,0.6207520917448461,0.18962395412757693
WELL,VENDER,0.6206493484200003,0.18967532578999985
CLX,VENDER,0.6159716751907752,0.1920141624046124
PCG,VENDER,0.6141368608479382,0.19293156957603091
GIS,VENDER,0.6139432022324349,0.19302839888378254
IBKR,VENDER,0.6122304227099813,0.19388478864500935
FRT,VENDER,0.6085657059111249,0.19571714704443757
ROST,VENDER,0.6072618198041875,0.1963690900979063
MS,VENDER,0.606437097020973,0.19678145148951348
BIIB,VENDER,0.599319063795912,0.20034046810204398
VMC,VENDER,0.5988521716623746,0.2005739141688127
PPL,VENDER,0.5971830205130704,0.2014084897434648
SYK,VENDER,0.5947338474679911,0.20263307626600446
PNC,VENDER,0.5941515306312526,0.20292423468437373
J,VENDER,0.5941241675080572,0.2029379162459714
AES,VENDER,0.59405579229261,0.202972103853695
CAG,VENDER,0.5936965097042618,0.2031517451478691
AEP,VENDER,0.5935413640613517,0.20322931796932414
